id,agent,type,type_string,fixed_component,per_tenant_component,multi_tenant_rate,discount_after,mandatory,includes_vat,notes,url_source,unknown
320,1122,92,Admin Fee,0.0,200.0,0.0,0,1,1,,,0
1509,254,70,Check Out,72.0,0.0,0.0,0,0,1,72-108 depend on size,,0
359,71,7,Guarantor Check,0.0,100.0,0.0,0,0,,,,0
1306,788,7,Guarantor Check,60.0,0.0,0.0,0,0,1,,,0
360,112,47,Other,0.0,0.0,0.0,0,0,,"""Should any other charges be incurred during the application process you will be advised of these in advance.""",,0
886,315,70,Check Out,112.2,0.0,0.0,0,0,1,112 - 224 depending on size and if furnished,,0
307,119,2,Reference Check,210.0,0.0,0.0,0,1,1,,,0
2948,3653,2,Reference Check,0.0,99.0,0.0,0,1,1,,,0
1379,976,2,Reference Check,0.0,75.0,0.0,0,1,0,,,0
1380,976,7,Guarantor Check,0.0,75.0,0.0,0,0,0,,,0
291,91,12,Ongoing Reference,0.0,30.0,0.0,0,0,,,,0
2949,3653,7,Guarantor Check,0.0,49.0,0.0,0,0,1,,,0
2950,3653,39,Check In,90.0,0.0,0.0,0,0,1,Minimum - up to £159. For managed properties only ,,0
3018,3661,92,Admin Fee,250.0,0.0,0.0,0,1,,Only payable if approved.,,0
3040,3380,178,Late Rental Payment,24.0,0.0,0.0,0,0,1,,,0
305,94,12,Ongoing Reference,0.0,0.0,0.0,0,0,1,,,0
3041,3380,424,Return of Rent Overpayment,24.0,0.0,0.0,0,0,1,,,0
290,91,30,Tenancy Renewal,180.0,0.0,0.0,0,0,,,,0
314,1124,15,Tenancy Agreement,210.0,0.0,0.0,0,1,1,,,0
358,71,15,Tenancy Agreement,300.0,0.0,0.0,0,1,,,,0
1305,788,137,Express Move In,60.0,0.0,0.0,0,0,1,,,0
312,119,12,Ongoing Reference,0.0,0.0,0.0,0,0,1,,,0
317,1124,12,Ongoing Reference,0.0,30.0,0.0,0,0,1,,,0
1253,818,60,Change of Occupancy,0.0,200.0,0.0,0,0,1,,,0
281,133,49,Late Payment Letter,40.0,0.0,0.0,0,0,1,,,0
289,91,60,Change of Occupancy,350.0,0.0,0.0,0,0,,,,0
1255,818,12,Ongoing Reference,0.0,24.0,0.0,0,0,1,,,0
1350,968,12,Ongoing Reference,0.0,60.0,0.0,0,0,1,,,0
296,127,46,Failed Rent Payments,24.0,0.0,0.0,0,0,1,,,0
297,127,18,Pet License,600.0,0.0,0.0,0,0,1,Increased deposit. ,,0
280,133,60,Change of Occupancy,0.0,117.5,0.0,0,0,1,,,0
300,94,7,Guarantor Check,0.0,150.0,0.0,0,0,1,,,0
302,94,11,Tenancy Amendment,250.0,0.0,0.0,0,0,1,,,0
303,94,30,Tenancy Renewal,250.0,0.0,0.0,0,0,1,,,0
285,129,70,Check Out,150.0,0.0,0.0,0,0,1,"For 1- and 2-bed. Studio – £117.60, three bedroom – £162, four bedroom and five bedroom – £168. For any additional room – £18.",,0
308,119,39,Check In,120.0,0.0,0.0,0,1,1,,,0
357,71,39,Check In,72.0,0.0,0.0,0,0,,(There may be instances where applicants pay for check-outs instead. Contact your local branch for more information,,0
734,645,7,Guarantor Check,0.0,60.0,0.0,0,0,1,,,0
366,534,7,Guarantor Check,0.0,60.0,0.0,0,0,1,,,0
421,914,11,Contract Changes,150.0,0.0,0.0,0,0,1,,,0
371,542,36,Company Reference,0.0,66.0,0.0,0,0,,,,0
373,542,39,Check In,130.0,0.0,0.0,0,1,,,,0
377,520,52,Inventory Amendments,30.0,0.0,0.0,0,0,1,,,0
2842,3132,297,Agency Administration Fee,366.6,0.0,0.0,0,1,1,60% of monthly fee ,,0
380,520,44,Early Termination,420.0,0.0,0.0,0,0,1,,,0
386,625,7,Guarantor Check,0.0,120.0,0.0,0,0,1,"Fee Per Guarantor. ""Only if a Guarantor is required and charged for each Guarantor that is referenced.""",,0
387,625,36,Company Reference,300.0,0.0,0.0,0,0,1,Company or Business reference fee,,0
1019,376,70,Check Out,70.0,0.0,0.0,0,0,1,70-150 (depending on size of property),,0
417,913,11,Tenancy Amendment,300.0,0.0,0.0,0,0,0,,,0
735,645,70,Check Out,192.0,0.0,0.0,0,0,1,,,0
736,645,12,Ongoing Reference,0.0,24.0,0.0,0,0,1,,,0
390,625,6,Inventory Report,162.0,0.0,0.0,0,0,1,162-180 -depending if furnished.,,0
272,88,70,Check Out,40.0,0.0,0.0,0,0,,,,0
384,520,12,Ongoing Reference,30.0,0.0,0.0,0,0,1,,,0
403,148,7,Guarantor Check,0.0,120.0,0.0,0,0,1,,,0
404,148,36,Company Reference,300.0,0.0,0.0,0,0,1,,,0
1258,804,44,Early Termination,600.0,0.0,0.0,0,0,1,,,0
410,908,42,Professional Cleaning,120.0,0.0,0.0,0,0,1,,,0
391,625,30,Tenancy Renewal,150.0,0.0,0.0,0,0,1,,,0
375,520,2,Reference Check,0.0,60.0,0.0,0,1,1,,,0
374,520,92,Admin Fee,250.0,0.0,0.0,0,1,1,,,0
388,625,15,Tenancy Agreement,210.0,0.0,0.0,0,1,1,,,0
370,542,2,Reference Check,0.0,60.0,0.0,0,1,,,,0
376,520,39,Check In,130.8,0.0,0.0,0,1,1,Typical cost,,0
786,403,70,Check Out,120.0,0.0,0.0,0,0,1,"£120 -140, The fee varies on the size and furnishing of the property, plus the inventory company used",,0
392,626,15,Tenancy Agreement,225.0,0.0,0.0,0,1,1,,,0
424,917,7,Guarantor Check,0.0,50.0,0.0,0,0,1,,,0
393,626,2,Reference Check,0.0,84.0,0.0,0,1,1,,,0
394,626,5,Deposit Protection,30.0,0.0,0.0,0,1,1,,,0
369,542,15,Tenancy Agreement,210.0,0.0,0.0,0,1,,,,0
405,148,15,Tenancy Agreement,210.0,0.0,0.0,0,1,1,,,0
1349,968,70,Check Out,120.0,0.0,0.0,0,0,1,120-240 (Depending on size),,0
422,917,15,Tenancy Agreement,150.0,0.0,0.0,0,1,1,,,0
426,917,41,Contract Changes,0.0,300.0,0.0,0,0,1,,,0
408,908,15,Tenancy Agreement,150.0,0.0,0.0,0,1,1,,,0
409,908,7,Guarantor Check,0.0,36.0,0.0,0,0,1,,,0
1308,851,7,Guarantor Check,0.0,75.0,0.0,0,0,,,,0
737,645,60,Change of Occupancy,150.0,0.0,0.0,0,0,1,,,0
413,973,92,Admin Fee,0.0,150.0,0.0,0,1,0,,,0
316,1124,60,Change of Occupancy,0.0,210.0,0.0,0,0,1,,,0
368,534,60,Change of Occupancy,0.0,480.0,120.0,2,0,1,,,0
406,148,59,Inventory Report Unfurnished,162.0,0.0,0.0,0,1,1,,,0
383,520,57,Repositioning furniture at EOT,30.0,0.0,0.0,0,0,1,+ contractor cost,,0
382,520,56,Charge for repair of tenant danage,60.0,0.0,0.0,0,0,1,+cost of damage,,0
381,520,55,Charge for Missing Items,30.0,0.0,0.0,0,0,1,+cost of items,,0
438,920,2,Reference Check,0.0,60.0,0.0,0,1,1,,,0
447,922,60,Change of Occupancy,0.0,210.0,0.0,0,0,1,,,0
445,922,39,Check In,180.0,0.0,0.0,0,1,1,,,0
491,1013,7,Guarantor Check,0.0,80.0,0.0,0,0,1,,,0
439,920,7,Guarantor Check,0.0,120.0,0.0,0,0,1,,,0
449,923,7,Guarantor Check,0.0,60.0,0.0,0,0,1,,,0
1928,2048,92,Admin Fee,180.0,0.0,0.0,0,1,1,,,0
1929,2048,2,Reference Check,0.0,60.0,0.0,0,1,1,,,0
496,636,64,Holding Deposit,500.0,0.0,0.0,0,0,0,"""Not subject to VAT"". Marked as non-mandatory as it will form part of deposit",,0
461,924,7,Guarantor Check,0.0,60.0,0.0,0,0,1,,,0
1930,2048,7,Guarantor Check,0.0,60.0,0.0,0,0,1,,,0
501,634,64,Holding Deposit,0.0,95.0,0.0,0,0,1,This is for additional applicant on top of the original holding deposit,,0
471,932,39,Check In,100.0,0.0,0.0,0,1,0,,,0
1917,2045,70,Check Out,150.0,0.0,0.0,0,0,1,,,0
464,930,15,Tenancy Agreement,300.0,0.0,0.0,0,1,1,,,0
467,930,60,Change of Occupancy,480.0,0.0,0.0,0,0,1,,,0
433,988,2,Reference Check,0.0,125.0,0.0,0,1,,,,0
435,988,60,Change of Occupancy,0.0,410.0,0.0,0,0,,,,0
760,647,7,Guarantor Check,0.0,95.0,0.0,0,0,0,,,0
430,918,92,Admin Fee,0.0,200.0,150.0,-2,1,0,This fee acts as a holding deposit as well as covering the cost of referencing and drafting the Tenancy Agreement.,,0
1256,804,92,Admin Fee,0.0,150.0,100.0,1,1,1,*Actually £200 inc VAT for the first tenant or £300 inc VAT for the first two tenants £50 inc VAT for every subsequent tenant. Simplified above for comparative fees.,,0
458,1294,12,Ongoing Reference,0.0,48.0,0.0,0,0,1,,,0
492,1013,15,Tenancy Agreement,95.0,0.0,0.0,0,1,1,,,0
463,924,12,Ongoing Reference,0.0,25.0,0.0,0,0,1,,,0
1310,841,7,Guarantor Check,0.0,50.0,0.0,0,0,1,,,0
486,1008,7,Guarantor Check,0.0,144.0,0.0,0,0,,,,0
488,1008,5,Deposit Protection,42.0,0.0,0.0,0,1,,,,0
1311,841,10,Permitted Occupier,0.0,50.0,0.0,0,0,1,,,0
468,930,12,Ongoing Reference,0.0,30.0,0.0,0,0,1,,,0
1312,841,11,Tenancy Amendment,150.0,0.0,0.0,0,0,1,,,0
499,636,7,Guarantor Check,40.0,0.0,0.0,0,0,0,£40 per guarantor,,0
648,643,103,Non payment letter,60.0,0.0,0.0,0,0,1,,,0
1394,159,2,Reference Check,0.0,75.0,0.0,0,1,1,,,0
436,988,70,Check Out,132.0,0.0,0.0,0,0,,132-213,,0
1942,2051,92,Admin Fee,400.0,0.0,0.0,0,1,1,,,0
1352,993,30,Tenancy Renewal,90.0,0.0,0.0,0,0,1,,,0
434,988,30,Tenancy Renewal,90.0,0.0,0.0,0,0,,,,0
440,920,30,Tenancy Renewal,60.0,0.0,0.0,0,0,1,,,0
443,922,15,Tenancy Agreement,90.0,0.0,0.0,0,1,1,,,0
453,923,60,Change of Occupancy,0.0,240.0,0.0,0,0,1,,,0
470,932,15,Tenancy Agreement,100.0,0.0,0.0,0,1,0,,,0
477,937,15,Tenancy Agreement,150.0,0.0,0.0,0,1,0,,,0
487,1008,15,Tenancy Agreement,60.0,0.0,0.0,0,1,,,,0
1393,159,15,Tenancy Agreement,100.0,0.0,0.0,0,1,1,,,0
1307,851,92,Admin Fee,0.0,250.0,50.0,1,1,,,,0
423,917,92,Admin Fee,0.0,150.0,0.0,0,1,1,,,0
1351,993,92,Admin Fee,0.0,144.0,0.0,0,1,1,,,0
506,672,7,Guarantor Check,0.0,90.0,0.0,0,0,,,,0
474,934,92,Admin Fee,0.0,125.0,0.0,0,1,0,,,0
489,1008,6,Inventory Report,129.0,0.0,0.0,0,1,,129-266 depending on size.,,0
